Nombre;Dirección;Código Postal;Teléfono;Fax;Email;Tipo de organización;Ámbito territorial;Sector de población;Ámbito de actuación;Actividades;Función principal;Función secundaria
ASOC. CULTURAL 2 DE MAYO BLV (BILBAO LA VIEJA);DOS DE MAYO                                                                                      3;48003;944168358;944168358;2demayobilbao@gmail.com;ASOCIACION;;POBLACION EN GENERAL;CULTURA;ACTIV.OCIO,CULTURALES,TALLERES;SERVICIOS A LOS CIUDADANOS;NORMALIZACION;
ASOC. SOCIOCULTURAL ISLAMICA AL FORKAN;CORTES                                                                                             33;48003;695778461;;;ASOCIACION;COMUNIDAD AUTONOMA;POB. INMIGRANTE Y AUTOCTONA;INTERVENCIÓN SOCIAL;DIVULGACION:CHARLAS,CAMPAÑAS;SERVICIOS A LOS SOCIOS;SOLIDARIDAD;
ASOC. DE VECINOS SARATXEBIDEA-GALBARRIATU SARAGA;SARATXEBIDEA                                                                                    55;48015;619460096;944572538;;ASOCIACION;DISTRITO 2 URIBARRI;POBLACION EN GENERAL;BARRIO;ACTIV.OCIO,CULTURALES,TALLERES;SERVICIOS A LOS SOCIOS;;
ASOC. ESPAÑOLA DE AFECTADOS POR LINFOMAS;UGARTEBURU JOSE MARIA                                                                  4;48007;901220110;911410114;bizkaia@aeal.es;ASOCIACION;ESTADO;AFECTADOS/ENFERMOS/AS;SALUD;JORNADAS TEMATICAS/CERTAMENES,SERVICIO MEDICO,GRUPOS DE AUTOAPOYO;AYUDA MUTUA;SERVICIOS A LOS SOCIOS;
ASOC. PARA LA PROMOCION DE CORTOMETRAJES CAOSTICA;ALLENDE MANUEL                                            3            2º ED;48010;699858369;;info@caostica.org;ASOCIACION;COMUNIDAD AUTONOMA;POBLACION EN GENERAL;CULTURA;JORNADAS TEMATICAS/CERTAMENES,PROYECCION DE CORTOMETRAJES;CREACION ARTISTICA;SERVICIOS A LOS CIUDADANOS;
FEDERACION DE AMPAS DE CENTROS DOCENTES DIOCESANOS DE BIZKAIA BIDELAGUN;SALCES ANSELMA DE                                                                       1    Y;48007;944795619;;bidelagun@bidelagun.org;FEDERACION;BIZKAIA;PADRES Y MADRES/FAMILIAS;EDUCACIÓN Y EMPLEO;COLABORACION CON OTRAS ASOCIAC;SERVICIOS A LOS SOCIOS;;
ASOC. CONGOLEÑA PARA LA SOLIDARIDAD EN EUSKADI LIMEMIA;LOJENDIO PADRE                                         2         1º DH;48008;628350922;;limemia@yahoo.es;ASOCIACION;BIZKAIA;POB. INMIGRANTE Y AUTOCTONA;INTERVENCIÓN SOCIAL;SENSIBILIZACION:CONCEN,MANIF,SERVICIO DE ORIENTACION;AYUDA MUTUA;SOLIDARIDAD;
ASOC. DE MUJERES JÓVENES MUSULMANAS BIDAYA;BASURTU-KASTREXANA                                                                     127       1º DH;48002;656769518;;bidayaelkartea@yahoo.es;ASOCIACION;COMUNIDAD AUTONOMA;MUJER;INTERVENCIÓN SOCIAL;ACTIV.FORMATIVAS/EDUCATIVAS,GRUPOS DE AUTOAPOYO;AYUDA MUTUA;SERVICIOS A LOS CIUDADANOS;
ZORROZA FUTBOL CLUB;ARCHER MARINO                                                                               35;48013;944905625;;;ASOCIACION;BIZKAIA;INFANCIA Y JUVENTUD;DEPORTIVAS;COMPETICIONES DEPORTIVAS;PROMOCION;;
FUNDACION GIZAKIA;MADARIAGA                                                                                          63;48014;944471033;944471158;fundacion@gizakia.org;FUNDACION;COMUNIDAD AUTONOMA;MARGINADOS/EXCLUIDOS/AS;SALUD;SERVICIO DE ORIENTACION,INFO/ORIENT EMPLEO Y FORMACION,SERVICIO ATENCION/ASISTENCIA,NO CONTESTA ASOCIACION;PROMOCION;PREVENCION;
ASOC. CIRCULO BOLIVARIANO LA PUEBLA;PRIM                                                                                                 43        LO IZ;48006;944151107;;euskadi@circulolapuebla.org;ASOCIACION;COMUNIDAD AUTONOMA;POBLACION EN GENERAL;CULTURA;DIVULGACION:CHARLAS,CAMPAÑAS,ACTIV.OCIO,CULTURALES,TALLERES;SOLIDARIDAD;CREACION DE OPINION;
UNOS POR OTROS AUPO;TUTULU                                                                                                10;48007;645730530;;a.u.p.o.bio@hotmail.com;ASOCIACION;COMUNIDAD AUTONOMA;POBLACION EN GENERAL;INTERVENCIÓN SOCIAL;SERV.INFORMACION/ASESORAMIENTO,DIVULGACION:CHARLAS,CAMPAÑAS;SOLIDARIDAD;AYUDA MUTUA;
FUNDACION MANUEL MARIA VICUÑA;FONTECHA Y SALAZAR                                                                        7;48007;944455060;;minmacbi@eleline.es;FUNDACION;ESTADO;MUJER;INTERVENCIÓN SOCIAL;ACTIV.OCIO,CULTURALES,TALLERES,INFO/ORIENT EMPLEO Y FORMACION,PROYECTOS DE COOPERACION;SOLIDARIDAD;PROMOCION;
ASOC. CULTURAL LANDA DE SANTA ANA;SANTA ANA                                                                                          49;48002;944275343;;landasantaana@yahoo.es;ASOCIACION;BILBAO;POBLACION EN GENERAL;CULTURA;ACTIV.OCIO,CULTURALES,TALLERES;PROMOCION;SERVICIOS A LOS CIUDADANOS;
FUNDACION TUTELAR GORABIDE;COLON DE LARREATEGUI                                      26           BA C;48009;944245562;944232904;ricardofun@futubide.org;FUNDACION;BILBAO;MINUSVALIDOS/AS;INTERVENCIÓN SOCIAL;SERVICIOS PROFESIONALES,SERVICIO ATENCION/ASISTENCIA;REPRESENTACION Y/O DEFENSA;PROTECCION;
ETORKINEKIN BAT, POR LA SOLIDARIDAD CON EL INMIGRANTE;MIRASOL CONDE                                                                                  11           LO DH;48003;944160660;944160660;etorkinekinbat@hotmail.com;ASOCIACION;BIZKAIA;POB. INMIGRANTE Y AUTOCTONA;INTERVENCIÓN SOCIAL;DIVULGACION:CHARLAS,CAMPAÑAS,LUGAR DE ENCUENTRO,INFO/ORIENT EMPLEO Y FORMACION,PROG.INSERCION LABORAL Y/O SOC;SOLIDARIDAD;NORMALIZACION;
ASOCIACION DE TIEMPO LIBRE TXOKO LAGUN GAZTEAK;MAKALDI                                                                                           5         2  C;48004;944128100;;AINGERU2403@terra.es;ASOCIACION;DISTRITO 3 OTXARKOAGA-TXURD.;MINUSVALIDOS/AS;TIEMPO LIBRE;ACTIV.OCIO,CULTURALES,TALLERES,CENTROS Y/O TALL.OCUPACIONALES;SERVICIOS A LOS SOCIOS;;
ASOCIACION INTERCULTURAL PANGEA;LANGARAN                                                                                            3;48004;944113239;;joseba.bakaikoa@gmail.com;ASOCIACION;BILBAO;POB. INMIGRANTE Y AUTOCTONA;INTERVENCIÓN SOCIAL;ACTIV.OCIO,CULTURALES,TALLERES,VISITAS CULTURALES/EXCURSIONES;PROMOCION;AYUDA MUTUA;
FEDERACION IRMANDADE DE CENTROS GALEGOS EN EUSKADI;PICASSO PABLO                                                                               4         BA;48012;944436792;944101176;irmandadecge@hotmail.com;FEDERACION;COMUNIDAD AUTONOMA;POBLACION EN GENERAL;CULTURA;ACTIV.OCIO,CULTURALES,TALLERES;PROMOCION;SERVICIOS A LOS SOCIOS;
ASOC. PARA LA INTEGRACION OSATU;FERNANDEZ DEL CAMPO                                                                   37        2º DH;48010;944436279;944833734;osatu_org@yahoo.es;ASOCIACION;BIZKAIA;POB. INMIGRANTE Y AUTOCTONA;INTERVENCIÓN SOCIAL;SERV.INFORMACION/ASESORAMIENTO,DIVULGACION:CHARLAS,CAMPAÑAS,ACTIV.FORMATIVAS/EDUCATIVAS;NORMALIZACION;CREACION DE OPINION;
ASOC. SHAREAK KULTUR ELKARTEA;ZUMALACARREGUI                                                                                121          5º A;48007;944461652;;;ASOCIACION;COMUNIDAD AUTONOMA Y  NAVARRA;EUSKALDUNES;CULTURA;ACTIV.FORMATIVAS/EDUCATIVAS;NORMALIZACION;PROMOCION;
FUNDACION ESCLEROSIS MULTIPLE EUGENIA EPALZA FUNDAZIOA;IBARREKOLANDA                                                                                  17           BJ;48015;944765138;944766096;info@emfundazioa.org;FUNDACION;COMUNIDAD AUTONOMA;MINUSVALIDOS/AS;SALUD;SENSIBILIZACION:CONCEN,MANIF;SERVICIOS A LOS SOCIOS;PROMOCION;
ASOC. KLEM KURAIA LABORATORIO ELECTROACUSTICA MUSICAL;ZUBIRIA YBARRA TOMAS                                                                 3         18 D;48007;944566451;944566451;klem@laboratorioklem.com;ASOCIACION;BIZKAIA;POBLACION EN GENERAL;CULTURA;ACTIVIDADES DE ANIMACION,REPRESEN/RECITALES/CONCIERTOS;CREACION ARTISTICA;ESTUDIOS/INVESTIGACION;
ASOC. CAMARA DEL LIBRO DE EUSKADI;AGUIRRE LEHENDAKARI                                                                      11           3º;48014;944764313;944761980;camaralibro@camaranet.com;ASOCIACION;COMUNIDAD AUTONOMA;POBLACION EN GENERAL;CULTURA;EXPOSICIONES,RECURSOS/FONDO BIBLIOGRAFICO,PUBLICACIONES;PROMOCION;REPRESENTACION Y/O DEFENSA;
SKENÉ INSTITUTO VASCO DE TEATRO CLASICO;POZA LICENCIADO                                                                              31           7º;48011;944420698;;skeneteatroclasico@gmail.com;ASOCIACION;COMUNIDAD AUTONOMA;JUVENTUD/ESTUDIANTES;CULTURA;ACTIV.OCIO,CULTURALES,TALLERES;REPRESENTACION Y/O DEFENSA;PROMOCION;
GATZIPEKO KULTUR ELKARTEA;ZABALBIDE                                                                                       13        4º IZ;48006;656735576;;;ASOCIACION;COMUNIDAD AUTONOMA Y  NAVARRA;POBLACION EN GENERAL;CULTURA;REPRESEN/RECITALES/CONCIERTOS,EXPOSICIONES;CREACION ARTISTICA;SERVICIOS A LOS CIUDADANOS;
BIZKAIKO ABESBATZEN ELKARTEA;COLON DE LARREATEGUI                                      41           PR DH;48009;944244045;944235449;baekoralak@hotmail.com;FEDERACION;BIZKAIA;POBLACION EN GENERAL;CULTURA;ACTIV.OCIO,CULTURALES,TALLERES;SERVICIOS A LOS SOCIOS;SERVICIOS A LOS CIUDADANOS;
ASOCIACION PUERTAS ABIERTAS;MACIA FRANCESC                                                                                1            BJ;48014;944753327;944759115;info@lafundicion.com;ASOCIACION;INTERNACIONAL;POBLACION EN GENERAL;CULTURA;ACTIV.FORMATIVAS/EDUCATIVAS,LUGAR DE ENCUENTRO;PROMOCION;SERVICIOS A LOS CIUDADANOS;
CREATURAS CASA DE ARTE BRUTO;URQUIJO                                                                                              52           4º IZ;48011;944421258;;creaturas@u-52.org;ASOCIACION;INTERNACIONAL;POBLACION EN GENERAL;CULTURA;ACTIV.OCIO,CULTURALES,TALLERES,EXPOSICIONES;SERVICIOS A LOS CIUDADANOS;CREACION ARTISTICA;
ASOC.HARETXA PARA EL DIALOGO INTERRELIGIOSO E INTERCULTURAL;SAN MAMES                                                                                          43   Y      8º;48010;944100052;944100052;paulortega@paxromena.int.ch;ASOCIACION;COMUNIDAD AUTONOMA;POBLACION EN GENERAL;SOCIEDAD;DIVULGACION:CHARLAS,CAMPAÑAS,ACTIV.FORMATIVAS/EDUCATIVAS;SOLIDARIDAD;;
FUNDACION ATHLETIC CLUB FUNDAZIOA;MAZARREDO                                                 23;48009;946612004;944233324;g.reguera@athletic-club.net;FUNDACION;COMUNIDAD AUTONOMA;POBLACION EN GENERAL;CULTURA;EXPOSICIONES;PROMOCION;SERVICIOS A LOS SOCIOS;
ASOC. DE JUBILADOS DE ZAMAKOLA-LA PEÑA ZAMAPEÑA;ZAMACOLA                                                                                            61           11 DI;48003;944169107;;;ASOCIACION;DISTRITO 5 IBAIONDO;TERCERA EDAD;INTERVENCIÓN SOCIAL;ACTIV.OCIO,CULTURALES,TALLERES;SERVICIOS A LOS SOCIOS;;
FEDERACION DE CASAS REGIONALES DE BILBAO;ALCORTA NICOLAS                                                                              7            2º;48003;944210961;944210961;;FEDERACION;BILBAO;TERCERA EDAD;CULTURA;ACTIV.OCIO,CULTURALES,TALLERES,EXPOSICIONES;AYUDA MUTUA;;
ASOCIACION AULA DE LA TERCERA EDAD DE ZABALBURU;ALCORTA NICOLAS;48003;944210961;944210961;;ASOCIACION;BILBAO;TERCERA EDAD;INTERVENCIÓN SOCIAL;DIVULGACION:CHARLAS,CAMPAÑAS,ACTIV.OCIO,CULTURALES,TALLERES;AYUDA MUTUA;;
FUNDACION AYUDA EN ACCION;SARRIKOALDE                                                                                      2            BJ;48015;944479677;944479761;esanchez@paisvasco.ayudaenaccion.org;FUNDACION;INTERNACIONAL;INFANCIA Y JUVENTUD;COOPERACIÓN INTERNACIONAL;ACTIV.OCIO,CULTURALES,TALLERES,ACTIV.FORMATIVAS/EDUCATIVAS,JORNADAS TEMATICAS/CERTAMENES,EXPOSICIONES;SOLIDARIDAD;;
CONCURSO INTERNACIONAL DE CANTO DE BILBAO;IBAÑEZ DE BILBAO                                          2            2º A;48001;944246533;944246454;cicb@concursocantobilbao.com;ASOCIACION;BILBAO;JUVENTUD/ESTUDIANTES;CULTURA;REPRESEN/RECITALES/CONCIERTOS;PROMOCION;CREACION ARTISTICA;
L'KALDO;ISASI ANDRES                                                                                    8            2º D;48012;944448833;;l.mono.bilbao@gmail.com;ASOCIACION;BILBAO;POBLACION EN GENERAL;CULTURA;DIVULGACION:CHARLAS,CAMPAÑAS,ACTIV.OCIO,CULTURALES,TALLERES,LUGAR DE ENCUENTRO;CREACION ARTISTICA;ESTUDIOS/INVESTIGACION;
ASOC DE VECINOS EL CANAL/KANALA AUZO ELKARTEA;ERRONDOKO                                                                                       2;48015;652565189;;elcanal1995@yahoo.es;ASOCIACION;DISTRITO 1 DEUSTO;POBLACION EN GENERAL;BARRIO;ACTIV.OCIO,CULTURALES,TALLERES,SENSIBILIZACION:CONCEN,MANIF;SERVICIOS A LOS CIUDADANOS;REPRESENTACION Y/O DEFENSA;
MISSI-MUJERES INMIGRANTES DE SAN IGNACIO;ARENAL CELESTINO M. DEL                                                           7         9;48015;619216709;944753120;missi2008@hotmail.com   anenavarra@hotmail.com;ASOCIACION;BIZKAIA;MUJER;SOCIEDAD;ACTIV.OCIO,CULTURALES,TALLERES,LUGAR DE ENCUENTRO,VISITAS CULTURALES/EXCURSIONES;AYUDA MUTUA;CREACION DE OPINION;
CLUB DEPORTIVO AEROLINK ELORRIETAKO FUTBOL SALA;AGUIRRE LEHENDAKARI                                                                      176          3º DH;48015;630975442;;elorrietako@euskalnet.net;ASOCIACION;;POBLACION EN GENERAL;DEPORTIVAS;JUGAR PARTIDOS;SERVICIOS A LOS CIUDADANOS;;
ASOCIACION TE  ATRAKO TEATRO;OLLERIAS BAJAS                                                                             10        BJ;48006;944389096;;info@bai-bai.net;ASOCIACION;INTERNACIONAL;POBLACION EN GENERAL;CULTURA;ACTIV.FORMATIVAS/EDUCATIVAS,JORNADAS TEMATICAS/CERTAMENES,REPRESEN/RECITALES/CONCIERTOS,GRUPO DE ARTES ESCENICAS;ESTUDIOS/INVESTIGACION;CREACION ARTISTICA;
ASOCIACION KURAIA GRUPO DE MUSICA CONTEMPORANEA;GORDONIZ                                                                                         50        6;48002;944459012;944566451;infoweb@ensemblekuraia.es;ASOCIACION;INTERNACIONAL;POBLACION EN GENERAL;CULTURA;DIVULGACION:CHARLAS,CAMPAÑAS,ACTIV.FORMATIVAS/EDUCATIVAS,REPRESEN/RECITALES/CONCIERTOS;CREACION ARTISTICA;PROMOCION;
SENDARTE ASOC. PARA LA PROMOCION DE LA SALUD A TRAVES DEL ARTE;ITURRIBIDE                                                                                     77        4  B;48006;944222575;;sendarte@yahoo.es;ASOCIACION;BIZKAIA,COMUNIDAD AUTONOMA;MUJER,AFECTADOS/ENFERMOS/AS,MARGINADOS/EXCLUIDOS/AS,INFANCIA Y JUVENTUD,TERCERA EDAD,MINUSVALIDOS/AS;INTERVENCIÓN SOCIAL;SERV.INFORMACION/ASESORAMIENTO,ACTIV.OCIO,CULTURALES,TALLERES,SERVICIO DE ATENCION INMEDIATA,CENTROS Y/O TALL.OCUPACIONALES;SERVICIOS A LOS CIUDADANOS;PREVENCION;
DEUSTUKO GAZTE ASANBLADA;LUZARRA                                                                                              1;48014;675715860;;deustukogazteasanblada@gmail.com;ASOCIACION;;JUVENTUD/ESTUDIANTES;CULTURA;ACTIV.OCIO,CULTURALES,TALLERES,JORNADAS TEMATICAS/CERTAMENES;SERVICIOS A LOS CIUDADANOS;REPRESENTACION Y/O DEFENSA;
ASOC. DE DINAMIZACION SOCIOCULTURAL DE PERSONAS MAYORES NAGUSIAK MARTXAN;LUZARRA                                                                                           1         3º;48014;944478511;;info@nagusiakmartxan.com;ASOCIACION;BIZKAIA;TERCERA EDAD;INTERVENCIÓN SOCIAL;SERV.INFORMACION/ASESORAMIENTO,ACTIV.FORMATIVAS/EDUCATIVAS,BLANCO,INFORM. Y/O FORM. VOLUNTARIOS;SERVICIOS A LOS CIUDADANOS;PROMOCION;
DANZA Y PERCUSION AFRICANA KANSALA;ANDRAMARIA DE BEGOÑA                                                                    4            BJ;48007;661659817;;kansalapercusion@hotmail.com;ASOCIACION;COMUNIDAD AUTONOMA;POB. INMIGRANTE Y AUTOCTONA;CULTURA;ACTIV.OCIO,CULTURALES,TALLERES,JORNADAS TEMATICAS/CERTAMENES,GRUPOS FOLKLORICOS;PROMOCION;CREACION ARTISTICA;
ASOCIACION ECOLOGISTA AZURREKA;JAEN                                                                                                    9            5  B;48012;619060480;;AZURREKA@LEMONA.BIZ;ASOCIACION;BIZKAIA;POBLACION EN GENERAL;SOCIEDAD;SERV.INFORMACION/ASESORAMIENTO,JORNADAS TEMATICAS/CERTAMENES;ESTUDIOS/INVESTIGACION;PROMOCION;
FUNDACION ADRA AGENCIA ADVENTISTA PARA EL DESARROLLO Y RECURSOS ASISTENCIALES;HUERTAS DE LA VILLA                                                                   20;48007;944451060;944451060;euskadi@adra-es.org / adrabilbao@yahoo.es;FUNDACION;ESTADO;POBLACION EN GENERAL;COOPERACIÓN INTERNACIONAL;PROYECTOS DE COOPERACION;SOLIDARIDAD;SERVICIOS A LOS CIUDADANOS;
ASOC. PARA LA INTEGRACION Y EL DESARROLLO DEL PUEBLO CONGO EN EUSKADI BANA BA CONGO;HERNANI                                                                                              11           LO;48003;626662432;;;ASOCIACION;COMUNIDAD AUTONOMA;ADULTOS/AS;SOCIEDAD;ACTIV.OCIO,CULTURALES,TALLERES;AYUDA MUTUA;SOLIDARIDAD;
ASOC. SENITARTEKO GUNEA SOCIALIZA.INTEGRA.OCIO,T.L. Y AYUDA SOCIAL;CARMELO GIL DOCTORES                                                                    11      4º      IZ;48012;944440499;;senitarteko_gunea@hotmail.com;ASOCIACION;BIZKAIA;POBLACION EN GENERAL;INTERVENCIÓN SOCIAL;DIVULGACION:CHARLAS,CAMPAÑAS,ACTIV.OCIO,CULTURALES,TALLERES;CREACION DE OPINION;CREACION ARTISTICA;
ASOC. LARRAKO TORRE ANTIGUOS ALUMNOS/AS DE LA FACULTAD DE CIENCIAS ECON. Y    EMPRESARIALES DE LA UPV;AGUIRRE LEHENDAKARI                                                                      83;48015;946013601;946013892;sarriko@hotmail.com;ASOCIACION;COMUNIDAD AUTONOMA;ADULTOS/AS;EDUCACIÓN Y EMPLEO;ACTIV.FORMATIVAS/EDUCATIVAS,COLABORACION CON OTRAS ASOCIAC;SERVICIOS A LOS SOCIOS;SERVICIOS A LOS CIUDADANOS;
ASOC. KREARTE PARA EL DESARROLLO DE LA ARTETERAPIA APLICADA SALUD Y EDUCACION;JARDINES                                                                                            10           3º IZ;48005;944153998;;kreartelkartea@gmail.com;ASOCIACION;BIZKAIA;POBLACION EN GENERAL;SALUD;ACTIV.FORMATIVAS/EDUCATIVAS,SERVICIO DE ORIENTACION,TERAPIAS /REHABILITACION;SERVICIOS A LOS CIUDADANOS;ESTUDIOS/INVESTIGACION;
ASOC. CENTROAMERICANA DE DESARROLLO INTEGRAL ACEDI;GARCIA SALAZAR                                                                                12           1º IZ;48003;944243327;;acedi08@gmail.com;ASOCIACION;COMUNIDAD AUTONOMA;POB. INMIGRANTE Y AUTOCTONA;INTERVENCIÓN SOCIAL;SERVICIO DE ORIENTACION,TERAPIAS /REHABILITACION;PROMOCION;SERVICIOS A LOS CIUDADANOS;
ASOC. HEZITHAZIA KULTURA ETA HEZIKETARAKO ELKARTEA;JIMENEZ FERNANDO MIEMBRO DYA                                                 14;48004;944730845;944122768;hezithazia@yahoo.es;ASOCIACION;COMUNIDAD AUTONOMA;INFANCIA Y JUVENTUD;CULTURA;ACTIV.OCIO,CULTURALES,TALLERES,ACTIV.FORMATIVAS/EDUCATIVAS;PROMOCION;CREACION ARTISTICA;
ASOC. EMAZTEKI;GALINDEZ JESUS                                                                             26;48004;651643950;;info@emazteki.org;ASOCIACION;COMUNIDAD AUTONOMA;MUJER;INTERVENCIÓN SOCIAL;ACTIV.FORMATIVAS/EDUCATIVAS,MEDIACION FAMILIAR,INFO/ORIENT EMPLEO Y FORMACION,SERVICIO ATENCION A LA MUJER;SOLIDARIDAD;PROMOCION;
FUNDACION AISI-HEZI FUNDAZIOA;RONDA                                                                                               FTE5;48005;946569208;;info@aisi-hezi.org;FUNDACION;BIZKAIA;INFANCIA Y JUVENTUD;TIEMPO LIBRE;REALIZACIàN DE ESTUDIOS,SENSIBILIZACION:CONCEN,MANIF,AYUDAS MATERIALES;PROMOCION;;
ASOC. SOCIOEDUCATIVA KIRIBIL SAREA;RONDA;48005;688881374;;gerencia@kiribilsarea.org;ASOCIACION;BIZKAIA;INFANCIA Y JUVENTUD;TIEMPO LIBRE;ACTIV.OCIO,CULTURALES,TALLERES,ACTIV.FORMATIVAS/EDUCATIVAS,ACTIVIDADES DE ANIMACION;PROMOCION;;
GOZALDI GAZTE ELKARTEA;SAN AGUSTIN                                                                                      S/N;48007;688635171;;zcortes@urigazte.net;ASOCIACION;DISTRITO 2 URIBARRI;INFANCIA Y JUVENTUD;TIEMPO LIBRE;ACTIV.OCIO,CULTURALES,TALLERES,ACTIV.FORMATIVAS/EDUCATIVAS,ACTIVIDADES DE ANIMACION;PROMOCION;SERVICIOS A LOS SOCIOS;
ASOC. INGENIERIA PARA LA COOPERACION/ LANKIDETZARAKO INGENIARITZA;MAZARREDO                                              69        3;48009;944232244;944234461;ic-li@coiib.es;ASOCIACION;INTERNACIONAL;POBLACION EN GENERAL;COOPERACIÓN INTERNACIONAL;PROYECTOS DE COOPERACION;SOLIDARIDAD;;
AGRUPACION DEPORTIVA FUTBOL BERRI-OTXOA;SANTA LUCIA                                                                                   4         BA IZ;48004;944730246;944011016;aikaren@euskalnet.net;ASOCIACION;BILBAO;MUJER;DEPORTIVAS;JUGAR PARTIDOS;PROMOCION;;
ASOC. VASCA DE MEDIACION/EUSKO BITARTEKARITZA ELKARTEA BITAR-BASK;LEDESMA                                                                                              4            3º;48001;944051614;;vikioo@hotmail.com;ASOCIACION;BIZKAIA;POBLACION EN GENERAL;SOCIEDAD;MEDIACION EN CONFLICTOS;SERVICIOS A LOS CIUDADANOS;ESTUDIOS/INVESTIGACION;
CAMERUNESES/AS EN BIZKAIA ACABIZ;LOJENDIO PADRE                                         2;48008;678087163;;;ASOCIACION;BIZKAIA;POB. INMIGRANTE Y AUTOCTONA;INTERVENCIÓN SOCIAL;ACTIV.OCIO,CULTURALES,TALLERES;AYUDA MUTUA;SOLIDARIDAD;
